"Name","Country","Category","Website","CEO","LinkedIn","Twitter","description"
"EasyEquities/ SatrixNOW"," South Africa"," InvestTech"," https://www.easyequities.co.za/"," EasyEquities CEO: Charles H Savage / SatrixNOW CEO: Helena Conradie","https://www.linkedin.com/in/charles-savage-92b936"," @EasyEquities and/or @SATRIX_SA","EasyEquities/ SatrixNOWEasyEquities is an online investment platform which makes it fun, easy and cheap for anyone to buy shares. The platform has replaced the jargon and intimidating fees you’d expect to find on other stockbroking platforms, with simple explanations and helpful recommendations – think Facebook, Uber and Amazon. There's no minimum investment, no monthly fees and the lowest trading costs in the market (investors pay only 64c per R100 invested) \n \n        Satrix and EasyEquities have the same endgame in mind – to deliver a slick, easy-to-use investing platform. That’s why they partnered in the rollout of SatrixNOW. Satrix is a leading provider of index-tracking investment products in South Africa with more than R50 billion in assets under management invested in a wide range of retail and institutional offerings. They offer both unit trusts and exchange traded funds (ETFs). \n\nHaving already established a low cost platform that enables people to invest in South African shares and ETF’s, the team has since developed the availability to invest in a selection of US stocks and ETFs as well. It has also produced products and solutions to cater to new customer needs; many of which surround developing good saving habits, gaining a better understanding of what to invest in, and building portfolios in line with their personal financial goals and investment styles. The first of these products was Baskets; a collection of shares that are pre-selected and weighted by a financial analyst, asset manager or personality. Baskets enable people to invest in a diversified portfolio of shares or Exchange Traded Funds (ETFs) that are associated with different levels of risk, with whatever investment amount they have available. Seeing the need for a more managed offering resulted in the development of a similar but more sophisticated tool: Bundles. Bundles, like baskets, offer users access to a portfolio of shares or ETFs based on their risk appetite but are chosen, weighted and rebalanced by an asset manager, giving users access to advanced investment strategies which they might have otherwise been excluded from or out of their financial reach. \n \n        "
"Ovamba"," Cameroon"," Lending & Financing"," https://ovamba.com"," Marvin Cole","https://www.linkedin.com/in/marvinrrcole"," @ovambap2p","Ovamba \n \n        Ovamba is an African funding and logistics services provider for small and medium enterprises.Ovamba addresses the funding gap left by the formal banking sector and Micro-Finance Institutions in Cameroon. This gap alienates the majority of Cameroon’s economic machine, SMEs, because business owners are unable to access quick and flexible finance.Ovamba connects institutional investors with local businesses and delivers capital faster with more favourable terms than its competitors. The application and approval process can be conducted efficiently via a mobile app, minimalizing lengthy bureaucracy.The platform uses a proprietary algorithm and machine learning to score risk using local, ethnic, qualitative and quantitative market data. Further distinguishing itself from its competitors, Ovamba is the only sharia-compliant platform of its kind in Africa.Ovamba transactions to date total over €10.5 million disbursed to SMEs. As new investors come onto the platform, the pace of transactions is accelerating. Customers typically operate businesses in consumables, electronics, fast moving goods, non-perishables, spare parts, automotive and logistics; with the average request being approximately €80,000.For investors, Ovamba’s track record and proprietary due diligence process yields opportunities with strong returns – historically trending at 14% – 18% net of fees – in line with their appetite for risk.\n        "
"KOCELA LIMITED"," Kenya"," Payments & Transfers"," www.kocela.com"," Abel Masai","https://www.linkedin.com/in/abel-masai-9b0b0725"," @kocelagroup","KOCELA LIMITED \n \n        Kocela is a digital enabler providing user-focused payment solutions in the mobile space, with a presence in 5 countries: Kenya, Uganda, Tanzania, Rwanda and Burundi.\n\nWe've set out to set the pace in the mobile app space, and take pride in having served some of East Africa's biggest institutions (KCB Bank Limited, HFC Bank Limited, Standard Media Group Limited, Credit Bank Limited, Spire Bank Limited... among others)\n\n Our range of services include:\n-Customizable mobile banking/ payments platform accessed via mobile or web that connects banks, saccos, micro-finance institutions and mobile money providers to their customers.\n- Payments collections and aggregation allowing merchants and businesses to collect payments.\n- Payment tools that allow merchants and businesses to do bulk payments, salary processing at the click of a button.\n\nWe are the makers of the KCB Bank App for Kenya, Rwanda, Uganda, Tanzania and Burundi. The App, which is the most downloaded and used Banking App in East Africa is available for Android/ iOS/ Windows, BlackBerry and integrates M-PESA, PESALINK and MVISA to allow customers to pay directly to any bank, mobile wallet, Buy Goods merchant, Pay Bill.\n\n      \n        "
"I Know First, Ltd."," Israel"," InvestTech"," http://iknowfirst.com/"," Yaron Golgher",""," @i_Know_First","I Know First, Ltd. \n \n        I Know First, Ltd. brings science and math to the financial world by providing daily investment forecasts based on an advanced self-learning algorithm. Developed by CTO Lipa Roitman (PhD from Weizmann Institute – 35 years of experience), the algorithm utilizes artificial intelligence and machine learning techniques through which I Know First is able to analyze, model and predict the stock market.Predictions are generated daily for a growing universe of over 3000 securities, including stocks, world indices, ETFs, interest rates and more for the short, medium and long term horizons. The algorithm is applied to discover the best investment opportunities and used as a decision support system for existing investment processes or to develop systematic trading strategies. It is adaptable and scalable allowing comprehensive customized algorithmic solutions including integration of additional markets depending on clients’ needs – family offices, wealth management firms and hedge funds – as well as fund management partnerships. Furthermore, by offering top-notch technology to retail clients, I Know First also empowers private investors to identify opportunities in markets and manage their portfolios with more confidence.I Know First has been able to grow both its institutional and retail client base by 400% during 2013-2015.After focusing on and establishing our unique solution in the U.S., our ultimate goal is to help investors uncover hidden opportunities across the globe and increase liquidity in the local markets. Having already started the process in the Eurozone and East Asia we are planning to apply our technology for the African stock markets.\n        "
"Guanxi Investment"," Cameroon"," Lending & Financing"," https://www.guanxi-invest.com/"," Cedric NGONDI","https://www.linkedin.com/in/cedric-ngondi/"," @guanxiinvest","Guanxi Investment \n \n        One of the main challenges to the African entrepreneurial boom is access to resources (funds, visibility ...). More than a crowdfunding website, Guanxi is a directory of the most innovative and competitive start-ups and projects in the continent. With the integration of local payment services adapted to the low level of bank account penetration, Guanxi enables the public to discover and invest in these startups/companies online directly via the platform.\n        "
"Cellulant"," Kenya"," Payments & Transfers"," www.cellulant.com"," Ken Njoroge","https://www.linkedin.com/in/ken-njoroge-48bb46"," @Cellulant","Cellulant \n \n        \nCellulant is an award-winning mobile payments company operating a one-stop payments ecosystem in Africa; connecting financial sector customers, Mobile Network Operators and businesses to their increasingly mobile consumers.\n\nCellulant now operates in 11 countries, with a growing workforce of 250 employees across the African continent. Driven by the mission to build a world class business in Africa, for Africa and by Africans; the company’s ecosystem connects over 95 banks, 30 Mobile Network Operators, several Government-backed e-Wallets and more than 600 blue chip companies . \n\n\nAs of January 2017, roughly 12% of Africa’s mobile consumers can make payments using Cellulant’s services and products. \n\n\nCurrently, the company powers three core products for consumers across Africa: Mula, Tingg and Agrikore\n\n\nMula is a bill payment platform that provides a convenient cashless and secure solution for paying your bills(airtime,power,tokens,water,Tv and parking) all in one app.\n\n\n\nTingg is a one stop, cashless and convenient payment solution that enables customers to make and receive payments and access banking services all from a single platform. \n\n\n\nAgriKore, also know as the eWallet, is a seamless technology that connects everyone to everything in Agriculture. As an enterprise system, Agrikore provides easy access to finance, quality inputs, and connection to prospective markets for farmers, This technology enabled Nigeria to increase its food production by an average of 21 million Metric tonnes annually from 2012 – 2015; a period of falling food prices and abundance food availability. Out of Nigeria Cellulant has exported this technology to other African countries in francophone and Anglophone Africa such as Liberia, Togo Uganda etc.\n\n        "
"First National Bank (FNB)"," South Africa"," Incumbent Banks"," https://www.fnb.co.za/"," Jacques Celliers","https://www.linkedin.com/in/jacquescelliers"," @FNBSA","First National Bank (FNB) \n \n        The FNB Banking App was a first for banking in South Africa. What makes the FNB Banking App unique is the seamless integration of additional value added services to the traditional banking functions. The latest version of the FNB Banking App offers a mobile & customer first solution that caters for contactless payments, financial, retail, rewards &amp; security applications. Customers have 1 app to fully manage all their banking needs from a smartphone.To deliver a full digital bank the requirement specified: contactless payments security (sim swop, phishing, identity theft prevention, device management) sales (account, credit card, investment, loans) service (cardmanagement, view PIN, live chat) rewards earn & spend (augmented reality, balances, card ordering) FNB Pay is the first interoperable mobile contactless payment solution in Africa. Smart inContact securely approves transactions without an OTP, verifies user devices, allows fraud reporting in 1 tap, & notifies customers of every transaction in & out of their accounts via push messages. Clients can fully open accounts on the app without interaction with call centres & branches. Card & account management lets you temporarily block/unblock cards, cancel &amp; order cards for delivery & view PINs. Rewards (eBucks) can be tracked, & retail stores found via augmented reality to spend rewards currency. Customers can also redeem coupons instore or purchase vouchers as a gift or personal use for various retailers. The app’s transactions have grown by 80% YoY for the period 2015/16. Over 21,000 customers have contactless wallets to tap & pay with FNB Pay. Over 65% of the Online Banking customer base uses the FNB App, and have their transaction notifications delivered via secure push notifcations. Over 5,000 clients have linked a smartwatch to the FNB App, and more than 300,000 clients use fingerprint ID to login to their app. More than 70% of the customer base login over 5 times per month.In line with our eRace, we have introduced nav» short for “navigation” providing smart new tools on the FNB App, designed to point our customers in the right direction when addressing angst in their lives. nav» Home launched late 2016, the key feature is the ability to get a free instant value estimate for a property. The various solutions have contributed to 247% growth in pay-out values since inception (across channels). In addition nav» Car launched this month, offering seamless licence disc renewal with delivery to your door. Since launch we have loaded 38 000 vehicles.What makes the FNB experience unique is that we have created an Ecosystem where customers can access everything they need from their bank in one place. So that is why FNB is one of the most innovative banks in Africa.\n        "
"ZAR X"," South Africa"," InvestTech"," www.zarx.co.za"," Etienne Nel","https://www.linkedin.com/in/etiennenel/"," @ZARX_xchange","ZAR X \n \n        ZAR X is not only South Africa’s first new stock exchange in 58 years. It is also the only fintech in the country operating as a stock exchange – and the only one focused on enabling financial access and inclusion. It represents a philosophical and operational watershed in the financial markets. It uses technology to slash by up to 80% the costs of a company listing on an exchange. This enables small and medium companies to list, exponentially expanding investment opportunities for both institutions and the (wo)man in the street. The ZAR X platform also makes it profitable for small to medium brokers to serve the vast and hitherto untapped retail market. It enables the average citizen to acquire a stake in business success with an investment as small as R1 000, massively expanding access to new exciting investment opportunities. While other exchanges are still at T+3 days, ZAR X’s world leading platform enables settlement of trades in 10 seconds, de-risking transactions and reducing systemic risk. And, because ZAR X is enabling the building of the nation’s savings and investment culture via a business vision and a technology platform that relentlessly strips complexity from the process of raising capital, it accelerates business growth and, therefore, job creation.\n        "
"Page MFB Limited"," Nigeria"," Lending & Financing"," www.pagemfbank.com"," Segun Akintemi",""," @pagemfbank","Page MFB Limited \n \n        Page MF Bank is an innovative microfinance institution committed to delivering seamless self-help Retail Banking experiences to our customers through multiple digital channels. By leveraging technology in our service delivery, our customers are able to initiate and complete end-to-end transactions without the need for physical appearance at the bank. Our objective is to transform “Bank” as we know it into something our customers “do” rather than a place they go to perform banking transactions. Hence, with our web portal, mobile application and card services, customers can meet their various banking needs on demand with no hassles. Services we provide via our e-channels include: Savings, Deposits, Loans and allied services.\n        "
"Loniwa"," Kenya"," Lending & Financing"," https://www.loniwa.com"," Daisy Wanjira","https://www.linkedin.com/in/daisywanjira/"," @loniwa_ke","Loniwa \n \n        Register in 1 minute at  www.loniwa.com   or     download the loniwa app on google play store  . Complete your business profile and start to enjoying credit facilities for your business. We are on Facebook too. Like and engage with us.\n        "
